reviewText,overall,unixReviewTime,summary,clean_text,sentiment_score,sentiment_label
No issues.,4.0,1406073600,Four Stars,issue,0.0,neutral
"Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.",5.0,1382659200,MOAR SPACE!!!,purchase device work advertise never much phone memory since download lot stuff brainer,0.0,neutral
it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before,4.0,1356220800,nothing to really say....,work expect spring high capacity   think make bit cheesy early version paint look clean,0.4019,positive
"This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!",5.0,1384992000,Great buy at this price!!!  *** UPDATE,think work greathad diff bran gb card go south   monthsthis one hold pretty well since note update month zero issue since transfer note note card reliable solidcheer,0.6486,positive
"Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card",5.0,1373673600,best deal around,buy retail packaging arrive legit orange envelope english version asian like picture show arrive quickly buy     retail packaging htc one sv lg optimus card work order probably good price get nice sd card,0.802,positive
It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,5.0,1367193600,Not a lot to really be said,mini storage   not anything else suppose   purchase add additional storage microsoft surface pro tablet come     gb   suppose sandisk long stand reputation speak,0.0,neutral
I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?,5.0,1382140800,Works well,phone never skip beat file transfer speedy corruption issue memory fade issue would expect sandisk brand great card entrust precious file slightly cheap piece crap lose everything forgive spend extra couple buck trusted product go good qa,0.8971,positive
It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.,5.0,1404950400,32 GB for less than two sawbucks...what's not to like?,hard believe affordable digital become   gb device one quarter sie postage stamp would science fiction less generation agoi pick portable music not want schlep risk phone ipod work great sd card readersselect confidence,0.8221,positive
"Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",5.0,1395619200,Loads of room,work htc rezound   run short space gb sandisk order come fast issue,0.0,neutral
"in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though",5.0,1381449600,works great,galaxy super fast card totally happy happy still type fill require word though,0.9165,positive
"I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia images with a fast transfer rate of Class 10 speed. It can take games with large files very easily and still have enough space for apps. It&#34;s great for video cameras and camcorders with the supplied adapter. Fits very easily into smartphones and tablets SD Card slots. I recommend this 32GB SD Card to everyone.",5.0,1368230400,32GB MicroSD Card.,like sd card take music video download personal video filesdoc multimedia image fast transfer rate class   speed take game large file easily still enough space app great video camera camcorder supply adapter fit easily smartphone tablet sd card slot recommend gb sd card everyone,0.9371,positive
"It works, but file writes are a bit slower than expected on a USB3 reader.Also, both reads and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s vs 10 write; 45 MB/s vs 22 MB/s read) on the same card reader.  Can't figure why...",3.0,1384905600,"It works, but not as fast as expected",work file write bit slow expect usb readeralso read write fast card inside standardsize sd adapter   mbs vs   write   mbs vs   mbs read card reader   can not figure,0.0,neutral
THE NAME OF ITSELF SPEAKS OUT. GO SANDISK GO!,5.0,1404432000,A RENOUND NAME BRAND,name speak go sandisk go,0.0,neutral
"Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), has great capacity, and is reasonably priced. I have had no issues with it.Overall, highly recommend.",5.0,1384992000,Great SDHC card,solid sdhc card fast read write fast record video pic great capacity reasonably price issue itoverall highly recommend,0.8173,positive
"Heard that the card's write speed is insufficient, however I have used it extensively and haven't had a single problem with it!!",5.0,1392595200,Use it for my GoPro Hero 3+ Black,hear card write speed insufficient however use extensively not single problem,0.3089,positive
"I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issues with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed.",5.0,1357257600,"Awesome price, great brand name",buy use go pro hero   black edition require class   microsdxc card far issue fast readwrite come adapter small packaging need come nice hard plastic case keep dry together need,0.7184,positive
got this because i had a 2 GB one that filled up. i kept getting the insufficient disk space on my phone. my kids take my phone and do selfies. mostly my daughter. I had to get a bigger card. the 2GB one was a carry over from an old phone.needless to say this was sweet. plenty of space. and i dont have to delete pictures anymore. well for now at least.my daughter loves selfies.,5.0,1393718400,great price. fast,get   gb one fill keep get insufficient disk space phone kid take phone selfie mostly daughter get big card gb one carry old phoneneedless say sweet plenty space not delete picture anymore well leastmy daughter love selfie,0.8519,positive
