reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote,clean_text,sentiment_score,sentiment_label,topic_id,topic_prob,topic_keywords,keywords
A3SBTW3WS4IQSN,B007WTAJTO,,"[0, 0]",No issues.,4.0,Four Stars,1406073600,2014-07-23,138,0,0,issues,0.0,neutral,-1,0.0,issues,issues
A18K1ODH1I2MVB,B007WTAJTO,0mie,"[0, 0]","Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.",5.0,MOAR SPACE!!!,1382659200,2013-10-25,409,0,0,purchased device worked advertised never much phone memory since download lot stuff brainer,0.0,neutral,-1,0.0,"purchased, device, worked, advertised, never","purchased device, never much phone memory, download lot stuff brainer"
A2FII3I2MBMUIA,B007WTAJTO,1K3,"[0, 0]",it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before,4.0,nothing to really say....,1356220800,2012-12-23,715,0,0,works expected sprung higher capacity think made bit cheesier earlier versions paint looks clean,0.4019,positive,-1,0.0,"works, expected, sprung, higher, capacity","works, higher capacity, bit cheesier"
A3H99DFEG68SR,B007WTAJTO,1m2,"[0, 0]","This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!",5.0,Great buy at this price!!!  *** UPDATE,1384992000,2013-11-21,382,0,0,think worked great diff bran card went south months one held pretty well since note update months zero issue since transferred note note card reliable solid cheers,0.9201,positive,-1,0.0,"think, worked, great, diff, bran","great diff bran card, note update months, transferred note note card, solid cheers"
A375ZM4U047O79,B007WTAJTO,2&amp;1/2Men,"[0, 0]","Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card",5.0,best deal around,1373673600,2013-07-13,513,0,0,bought retail packaging arrived legit orange envelope english version asian like picture shows arrived quickly bought retail packaging htc one optimus cards working order probably best price get nice card,0.8591,positive,101,0.5,"price, cost, value","retail packaging, picture shows, one optimus cards working order, probably best price, nice card"
A2IDCSC6NVONIZ,B007WTAJTO,2Cents!,"[0, 0]",It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,5.0,Not a lot to really be said,1367193600,2013-04-29,588,0,0,mini storage anything else supposed purchased add additional storage microsoft surface pro tablet come supposed sandisk long standing reputation speaks,0.0,neutral,-1,0.0,"mini, storage, anything, else, supposed","mini storage, anything, additional storage, microsoft surface pro tablet, supposed sandisk long standing reputation"
A26YHXZD5UFPVQ,B007WTAJTO,2K1Toaster,"[0, 0]",I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?,5.0,Works well,1382140800,2013-10-19,415,0,0,phone never skips beat file transfers speedy corruption issues memory fade issues would expect sandisk brand great card entrust precious files slightly cheaper piece crap lose everything forgive spending extra couple bucks trusted product goes good,0.8971,positive,101,0.5,"price, cost, value","phone, beat file transfers speedy corruption issues memory fade issues, sandisk brand great card, precious files, slightly cheaper piece crap"
A3CW0ZLUO5X2B1,B007WTAJTO,"35-year Technology Consumer ""8-tracks to 802.11""","[0, 0]",It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.,5.0,32 GB for less than two sawbucks...what's not to like?,1404950400,2014-10-07,62,0,0,hard believe affordable digital become device one quarter sie postage stamp would science fiction less generation ago picked portable music want schlep risk phone ipod works great card readers select confidence,0.7351,positive,101,0.5,"price, cost, value","device, one quarter sie postage stamp, fiction, portable music, schlep risk phone"
A2CYJO155QP33S,B007WTAJTO,4evryoung,"[1, 1]","Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",5.0,Loads of room,1395619200,2014-03-24,259,1,1,works htc rezound running short space sandisk ordered came fast issues,0.0,neutral,105,0.5,"speed, performance, fast","short space sandisk, fast issues"
A2S7XG3ZC4VGOQ,B007WTAJTO,53rdcard,"[0, 0]","in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though",5.0,works great,1381449600,2013-11-10,393,0,0,galaxy super fast card totally happy happy still type fill required words though,0.9165,positive,105,0.5,"speed, performance, fast","super fast card, totally happy happy still type fill required words"
